HighPosition,LowPosition,PairName,PowerfulM,PowerlessM,PowerfulF,PowerlessF,HighRatio,LowRatio,DoubleRatio,RatioDiff
dance instructor,dancer,dance_instructor:dancer,17,37,21,71,0.8181818181818182,0.5277777777777778,1.5502392344497609,0.29040404040404044
dentist,assistant,dentist:assistant,18,45,3,33,4.75,1.3529411764705883,3.510869565217391,3.3970588235294117
captain,sailor,captain:sailor,85,79,2,11,28.666666666666668,6.666666666666667,4.3,22
vet,veterinary assistant,vet:assistant,11,3,4,4,2.4,0.8,2.9999999999999996,1.5999999999999999
landowner,labourer,landowner:labourer,50,121,1,3,25.5,30.5,0.8360655737704918,-5
employer,employee,employer:employee,3,16,0,4,4,3.4,1.1764705882352942,0.6000000000000001
monarch,servant,monarch:servant,79,67,18,16,4.2105263157894735,4,1.0526315789473684,0.21052631578947345
factory manager,worker,factory_manager:worker,24,25,1,13,12.5,1.8571428571428572,6.730769230769231,10.642857142857142
doctor,nurse,doctor:nurse,18,4,6,28,2.7142857142857144,0.1724137931034483,15.742857142857142,2.541871921182266
referee,footballer,referee:footballer,44,125,3,3,11.25,31.5,0.35714285714285715,-20.25
director,actor,director:actor,117,120,23,6,4.916666666666667,17.285714285714285,0.284435261707989,-12.369047619047617
shop manager,cashier,shop_manager:cashier,52,31,35,20,1.4722222222222223,1.5238095238095237,0.9661458333333335,-0.051587301587301404
judge,law clerk,judge:clerk,36,17,8,9,4.111111111111111,1.8,2.2839506172839505,2.311111111111111
bank manager,bank clerk,bank_manger:clerk,35,63,7,20,4.5,3.0476190476190474,1.4765625,1.4523809523809526
surgeon,patient,surgeon:patient,66,7,2,6,22.333333333333332,1.1428571428571428,19.541666666666668,21.19047619047619
officer,cadet,officer:cadet,58,68,6,11,8.428571428571429,5.75,1.4658385093167703,2.678571428571429
chef,cook,chef:cook,89,31,13,42,6.428571428571429,0.7441860465116279,8.638392857142858,5.684385382059801
cook,kitchen porter,cook:porter,31,12,42,4,0.7441860465116279,2.6,0.28622540250447226,-1.8558139534883722
conductor,musician,conductor:musician,130,94,9,23,13.1,3.9583333333333335,3.309473684210526,9.141666666666666
pilot,flight attendant,pilot:flight_attendant,67,8,1,53,34,0.16666666666666666,204,33.833333333333336
restaurant owner,waiter,restaurant_owner:waiter,44,51,4,0,9,52,0.17307692307692307,-43
publisher,proofreader,publisher:proofreader,21,13,2,23,7.333333333333333,0.5833333333333334,12.57142857142857,6.75
professor,student,professor:student,101,14,15,12,6.375,1.1538461538461537,5.525,5.221153846153847
parent,child,parent:child,6,9,9,5,0.7,1.6666666666666667,0.41999999999999993,-0.9666666666666668
senior stylist,junior stylist,senior_stylist:stylist,1,0,0,1,2,0.5,4,1.5
coach,athlete,coach:athlete,84,45,5,26,14.166666666666666,1.7037037037037037,8.315217391304348,12.462962962962962
teacher,pupil,teacher:pupil,23,8,20,13,1.1428571428571428,0.6428571428571429,1.7777777777777775,0.4999999999999999
colonel,soldier,colonel:soldier,86,64,8,0,9.666666666666666,65,0.14871794871794872,-55.333333333333336
architect,builder,architector:builder,101,70,1,3,51,17.75,2.8732394366197185,33.25
engineer,mechanic,engineer:mechanic,97,71,4,6,19.6,10.285714285714286,1.9055555555555554,9.314285714285715
boss,secretary,boss:secretary,107,87,4,27,21.6,3.142857142857143,6.872727272727273,18.45714285714286
general,deputy,general:deputy,45,67,1,11,23,5.666666666666667,4.0588235294117645,17.333333333333332
