Profession,d,f,m,u,M_or_F,MF_ratio,Weights
soldier,7,0,64,136,64,65,0.45714285714285713
waiter,8,0,51,149,51,52,0.36428571428571427
architect,16,1,101,99,102,51,0.7285714285714285
pilot,517,1,67,133,68,34,0.4857142857142857
footballer,4,3,125,72,128,31.5,0.9142857142857143
labourer,8,3,121,75,124,30.5,0.8857142857142857
captain,149,2,85,113,87,28.666666666666668,0.6214285714285714
landowner,0,1,50,149,51,25.5,0.36428571428571427
general,900,1,45,53,46,23,0.32857142857142857
surgeon,50,2,66,132,68,22.333333333333332,0.4857142857142857
boss,6,4,107,89,111,21.6,0.7928571428571428
engineer,8,4,97,99,101,19.6,0.7214285714285714
builder,44,3,70,127,73,17.75,0.5214285714285715
actor,4,6,120,75,126,17.285714285714285,0.9
coach,195,5,84,111,89,14.166666666666666,0.6357142857142857
conductor,83,9,130,61,139,13.1,0.9928571428571429
factory manager,0,1,24,33,25,12.5,0.17857142857142858
referee,29,3,44,154,47,11.25,0.3357142857142857
mechanic,28,6,71,123,77,10.285714285714286,0.55
colonel,3,8,86,106,94,9.666666666666666,0.6714285714285714
restaurant owner,0,4,44,68,48,9,0.34285714285714286
officer,176,6,58,136,64,8.428571428571429,0.45714285714285713
publisher,31,2,21,178,23,7.333333333333333,0.16428571428571428
sailor,11,11,79,111,90,6.666666666666667,0.6428571428571429
chef,1,13,89,98,102,6.428571428571429,0.7285714285714285
professor,3,15,101,85,116,6.375,0.8285714285714286
cadet,7,11,68,121,79,5.75,0.5642857142857143
deputy,1,11,67,122,78,5.666666666666667,0.5571428571428572
director,0,23,117,60,140,4.916666666666667,1
dentist,1,3,18,179,21,4.75,0.15
bank manager,6,7,35,158,42,4.5,0.3
monarch,26,18,79,103,97,4.2105263157894735,0.6928571428571428
judge,59,8,36,156,44,4.111111111111111,0.3142857142857143
servant,53,16,67,117,83,4,0.5928571428571429
employer,0,0,3,197,3,4,0.02142857142857143
musician,1,23,94,83,117,3.9583333333333335,0.8357142857142857
employee,4,4,16,180,20,3.4,0.14285714285714285
secretary,2,27,87,86,114,3.142857142857143,0.8142857142857143
bank clerk,1,20,63,62,83,3.0476190476190474,0.5928571428571429
doctor,9,6,18,176,24,2.7142857142857144,0.17142857142857143
kitchen porter,0,4,12,28,16,2.6,0.11428571428571428
vet,26,4,11,185,15,2.4,0.10714285714285714
pot washer,0,0,1,0,1,2,0.007142857142857143
senior stylist,0,0,1,3,1,2,0.007142857142857143
worker,2,13,25,162,38,1.8571428571428572,0.2714285714285714
law clerk,0,9,17,6,26,1.8,0.18571428571428572
athlete,1,26,45,129,71,1.7037037037037037,0.5071428571428571
child,6,5,9,186,14,1.6666666666666667,0.1
cashier,2,20,31,149,51,1.5238095238095237,0.36428571428571427
shop manager,0,35,52,108,87,1.4722222222222223,0.6214285714285714
assistant,6,33,45,123,78,1.3529411764705883,0.5571428571428572
student,9,12,14,174,26,1.1538461538461537,0.18571428571428572
teacher,0,20,23,157,43,1.1428571428571428,0.30714285714285716
patient,9,6,7,188,13,1.1428571428571428,0.09285714285714286
dance instructor,1,21,17,35,38,0.8181818181818182,0.2714285714285714
veterinary assistant,0,4,3,2,7,0.8,0.05
cook,149,42,31,127,73,0.7441860465116279,0.5214285714285715
parent,96,9,6,185,15,0.7,0.10714285714285714
pupil,16,13,8,180,21,0.6428571428571429,0.15
proofreader,9,23,13,131,36,0.5833333333333334,0.2571428571428571
dancer,1,71,37,91,108,0.5277777777777778,0.7714285714285715
junior stylist,0,1,0,5,1,0.5,0.007142857142857143
nurse,15,28,4,168,32,0.1724137931034483,0.22857142857142856
flight attendant,0,53,8,139,61,0.16666666666666666,0.4357142857142857
